223,426,40,1709,381,724
224,10000,130,157,239,623
225,10000,114,6750,3267,568
226,10000,3456,277,186,112
227,10000,10000,682,582,136
228,10000,7192,337,1665,45
229,3896,165,1597,117,75
230,1585,4041,1282,990,83
231,9452,171,1558,571,38
232,1316,1790,876,155,2303
233,10000,10000,1256,1861,69
234,6689,7117,116,33,2173
235,9176,965,645,120,108
236,9080,21,122,663,97
237,355,11,464,250,84
238,92,1570,4567,1205,372
239,174,2990,667,574,4324
240,7297,1245,191,62,4468
241,10000,9875,7672,613,75
242,10000,456,7373,130,123
243,10000,104,152,96,248
244,10000,10000,697,1763,1019
245,10000,2660,120,194,91
246,451,10000,1953,113,14
247,309,1906,333,210,531
248,5931,27,1102,102,126
249,2700,998,115,1265,99
250,10000,810,1302,127,1050
251,10000,10000,187,2678,277
252,549,5031,190,92,99
253,219,2270,149,88,33
254,719,407,47,1170,705
255,30,33,1319,154,606
256,10000,4279,763,23,3671
257,626,10000,122,5767,2471
258,770,1107,601,2399,6399
259,5075,1605,1536,2983,61
260,184,1099,343,650,832
261,1392,120,60,65,1624
262,10000,6142,101,2945,835
263,935,6009,4081,43,1857
264,6091,5038,947,141,582
265,191,5973,2856,99,553
266,10000,8149,7484,75,1009
267,2829,903,241,55,2530
268,1519,584,3532,104,79
269,10000,622,243,1105,102
270,10000,2314,74,112,101
271,682,10000,3703,43,93
272,4436,2915,761,494,624
273,168,62,1071,1747,1371
274,232,10000,3153,556,53
275,10000,168,65,962,138
276,6773,2619,3881,1844,230
277,9834,490,1305,852,1512
278,10000,6027,47,16,115
279,4058,1314,129,2211,39
280,10000,661,2954,141,94
281,6577,527,380,61,918
282,3361,5136,137,102,115
283,119,4072,4317,209,26
284,90,170,291,2154,1123
285,367,1470,56,238,385
286,4938,195,53,1827,586
287,5137,707,1278,288,258
288,10000,226,2398,1442,807
289,4259,1123,1261,44,74
290,3638,9510,238,124,272
291,10000,9546,50,110,509
292,10000,1408,1356,8121,735
293,7398,4824,85,46,1573
294,6306,164,101,1513,65
295,159,3636,2093,1964,1788
296,251,5898,88,105,458
297,108,589,152,2394,1007
298,4497,92,325,2222,67
299,76,286,108,3340,118
300,10000,503,539,1660,96
301,6226,1681,64,208,885
302,1419,1847,348,1085,43
303,10000,6645,82,143,100
304,10000,266,109,2911,32
305,389,10000,167,124,1064
306,1830,10000,953,757,1112
