"abed","in bed"
"abet","assist or encourage, usually in some wrongdoing"
"aced","serve an ace against (someone)","play (a hole) in one stroke","score an ace against","succeed at easily"
"aged","people who are old collectively","(used of tobacco) aging as a preservative process (`aged' is pronounced as one syllable)","of wines, fruit, cheeses; having reached a desired or final condition; (`aged' pronounced as one syllable)","advanced in years; (`aged' is pronounced as two syllables)","having attained a specific age; (`aged' is pronounced as one syllable)","at an advanced stage of erosion (pronounced as one syllable)"
"aped","represent in or produce a caricature of","imitate uncritically and in every aspect"
"awed","inspired by a feeling of fearful wonderment or reverence","having or showing a feeling of mixed reverence and respect and wonder and dread"
"axed","terminate","terminate","chop or split with an ax","chop or split with an ax"
"abut","lie adjacent to another or share a boundary"
"acer","of the highest quality"
"aces","a serve that the receiver is unable to reach","one of four playing cards in a deck having a single pip on its face","someone who is dazzlingly skilled in any field","the smallest whole number or a numeral representing this number","serve an ace against (someone)","play (a hole) in one stroke","score an ace against","succeed at easily"
"acid","street name for lysergic acid diethylamide","any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt","having the characteristics of an acid","harsh or corrosive in tone","being sour to the taste"
"iced","put ice on or put on ice","cause to become ice or icy","decorate with frosting"
"ages","how long something has existed","a time of life (usually defined in years) at which some particular qualification or power arises","a late time of life","a prolonged period of time","an era of history having some distinctive feature","grow old or older","begin to seem older; get older","make older"
"apes","any of various primates with short tails or no tail at all","person who resembles a nonhuman primate","someone who copies the words or behavior of another","represent in or produce a caricature of","imitate uncritically and in every aspect"
"apex","the point on the celestial sphere toward which the sun and solar system appear to be moving relative to the fixed stars","the highest point (of something)"
"sped","move faster","cause to move faster","move very fast","travel at an excessive or illegal velocity","move fast"
"awes","an overwhelming feeling of wonder or admiration","a feeling of profound respect for someone or something","inspire awe in"
"owed","be in debt","be obliged to pay or repay","be indebted to, in an abstract or intellectual sense"
"axes","an edge tool with a heavy bladed head mounted across a handle","an edge tool with a heavy bladed head mounted across a handle","terminate","terminate","chop or split with an ax","chop or split with an ax"
"aver","to declare or affirm solemnly and formally as true","report or maintain"
"acts","something that people do or cause to happen","a legal document codifying the result of deliberations of a committee or society or legislative body","a short theatrical performance that is part of a longer program","a subdivision of a play or opera or ballet","a manifestation of insincerity","behave in a certain manner; show a certain behavior; conduct or comport oneself","pretend to have certain qualities or state of mind","discharge one's duties","play a role or part","perform on a stage or theater","behave unnaturally or affectedly","perform an action, or work out or perform (an action)","be engaged in an activity, often for no particular purpose other than pleasure","have an effect or outcome; often the one desired or expected","be suitable for theatrical performance"
"ales","a general name for beer made with a top fermenting yeast; in some of the United States an ale is (by law) a brew of more than 4% alcohol by volume"
"ares","a unit of surface area equal to 100 square meters"
"ices","a rink with a floor of ice for ice hockey or ice skating","an amphetamine derivative (trade name Methedrine) used in the form of a crystalline hydrochloride; used as a stimulant to the nervous system and as an appetite suppressant","a frozen dessert with fruit flavoring (especially one containing no milk)","a flavored sugar topping used to coat and decorate cakes","the frozen part of a body of water","diamonds","water frozen in the solid state","put ice on or put on ice","cause to become ice or icy","decorate with frosting"
"amid","preposition"
"arid","lacking vitality or spirit; lifeless","lacking sufficient water or rainfall"
"avid","marked by active interest and enthusiasm","(often followed by `for') ardently or excessively desirous"
